q_type,attribute,category,question,polarity,gt,choice_1,choice_2,choice_3,choice_4
boolean,Surface Hardness,bunk_bed,bunk_bed is less hard on the surface than banana.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,bunk_bed,bunk_bed is more hard on the surface than lemonade.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,bunk_bed,lemonade is more hard on the surface than bunk_bed.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,bunk_bed,lemonade is less hard on the surface than bunk_bed.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,bunk_bed,bunk_bed is less hard on the surface than lemonade.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,tool,tool is more hard on the surface than egg.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,tool,egg is more hard on the surface than tool.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,tool,egg is less hard on the surface than tool.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,tool,tool is less hard on the surface than egg.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,cowbell,cowbell is more hard on the surface than zucchini.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,cowbell,zucchini is more hard on the surface than cowbell.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,cowbell,zucchini is less hard on the surface than cowbell.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,cowbell,cowbell is less hard on the surface than zucchini.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,apron,apron is more hard on the surface than sweet_potato.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,apron,sweet_potato is more hard on the surface than apron.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,apron,sweet_potato is less hard on the surface than apron.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,apron,apron is less hard on the surface than sweet_potato.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,corkscrew,corkscrew is more hard on the surface than tomato.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,corkscrew,tomato is more hard on the surface than corkscrew.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,corkscrew,tomato is less hard on the surface than corkscrew.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,corkscrew,corkscrew is less hard on the surface than tomato.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,bottle_opener,bottle_opener is more hard on the surface than banana.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,bottle_opener,banana is more hard on the surface than bottle_opener.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,bottle_opener,banana is less hard on the surface than bottle_opener.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,bottle_opener,bottle_opener is less hard on the surface than banana.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,football_helmet,football_helmet is more hard on the surface than chocolate_mousse.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,football_helmet,chocolate_mousse is more hard on the surface than football_helmet.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,football_helmet,chocolate_mousse is less hard on the surface than football_helmet.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,football_helmet,football_helmet is less hard on the surface than chocolate_mousse.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,dishtowel,dishtowel is more hard on the surface than persimmon.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,dishtowel,persimmon is more hard on the surface than dishtowel.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,dishtowel,persimmon is less hard on the surface than dishtowel.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,dishtowel,dishtowel is less hard on the surface than persimmon.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,fire_extinguisher,fire_extinguisher is more hard on the surface than cornbread.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,fire_extinguisher,cornbread is more hard on the surface than fire_extinguisher.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,fire_extinguisher,cornbread is less hard on the surface than fire_extinguisher.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,fire_extinguisher,fire_extinguisher is less hard on the surface than cornbread.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,cooking_utensil,cooking_utensil is more hard on the surface than egg_roll.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,cooking_utensil,egg_roll is more hard on the surface than cooking_utensil.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,cooking_utensil,egg_roll is less hard on the surface than cooking_utensil.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,cooking_utensil,cooking_utensil is less hard on the surface than egg_roll.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,skewer,skewer is more hard on the surface than cigarette.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,skewer,cigarette is more hard on the surface than skewer.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,skewer,cigarette is less hard on the surface than skewer.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,skewer,skewer is less hard on the surface than cigarette.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,bunk_bed,bunk_bed is more hard on the surface than cake.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,bunk_bed,cake is more hard on the surface than bunk_bed.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,bunk_bed,cake is less hard on the surface than bunk_bed.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,bunk_bed,bunk_bed is less hard on the surface than cake.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,spear,spear is more hard on the surface than ice_cream.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,spear,ice_cream is more hard on the surface than spear.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,spear,ice_cream is less hard on the surface than spear.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,spear,spear is less hard on the surface than ice_cream.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,coverall,coverall is more hard on the surface than muffin.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,coverall,muffin is more hard on the surface than coverall.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,coverall,muffin is less hard on the surface than coverall.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,coverall,coverall is less hard on the surface than muffin.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,cart,cart is more hard on the surface than birthday_cake.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,cart,birthday_cake is more hard on the surface than cart.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,cart,birthday_cake is less hard on the surface than cart.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,cart,cart is less hard on the surface than birthday_cake.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,hand_towel,hand_towel is more hard on the surface than pretzel.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,hand_towel,pretzel is more hard on the surface than hand_towel.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,hand_towel,pretzel is less hard on the surface than hand_towel.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,hand_towel,hand_towel is less hard on the surface than pretzel.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,jewelry,jewelry is more hard on the surface than quiche.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,jewelry,quiche is more hard on the surface than jewelry.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,jewelry,quiche is less hard on the surface than jewelry.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,jewelry,jewelry is less hard on the surface than quiche.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,anklet,anklet is more hard on the surface than sweet_pepper.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,anklet,sweet_pepper is more hard on the surface than anklet.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,anklet,sweet_pepper is less hard on the surface than anklet.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,anklet,anklet is less hard on the surface than sweet_pepper.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,golf_club,golf_club is more hard on the surface than tomato.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,golf_club,tomato is more hard on the surface than golf_club.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,golf_club,tomato is less hard on the surface than golf_club.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,golf_club,golf_club is less hard on the surface than tomato.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,hand_towel,hand_towel is more hard on the surface than legume.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,hand_towel,legume is more hard on the surface than hand_towel.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,hand_towel,legume is less hard on the surface than hand_towel.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,hand_towel,hand_towel is less hard on the surface than legume.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,binder,binder is more hard on the surface than birthday_cake.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,binder,birthday_cake is more hard on the surface than binder.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,binder,birthday_cake is less hard on the surface than binder.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,binder,binder is less hard on the surface than birthday_cake.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,fire_extinguisher,fire_extinguisher is more hard on the surface than sunglasses.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,fire_extinguisher,sunglasses is more hard on the surface than fire_extinguisher.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,fire_extinguisher,sunglasses is less hard on the surface than fire_extinguisher.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,fire_extinguisher,fire_extinguisher is less hard on the surface than sunglasses.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,skewer,skewer is more hard on the surface than tomato.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,skewer,tomato is more hard on the surface than skewer.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,skewer,tomato is less hard on the surface than skewer.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,skewer,skewer is less hard on the surface than tomato.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,combination_lock,combination_lock is more hard on the surface than chocolate_mousse.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,combination_lock,chocolate_mousse is more hard on the surface than combination_lock.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,combination_lock,chocolate_mousse is less hard on the surface than combination_lock.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,combination_lock,combination_lock is less hard on the surface than chocolate_mousse.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,cart,cart is more hard on the surface than banana.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,cart,banana is more hard on the surface than cart.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,cart,banana is less hard on the surface than cart.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,cart,cart is less hard on the surface than banana.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,bell,bell is more hard on the surface than persimmon.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,bell,persimmon is more hard on the surface than bell.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,bell,persimmon is less hard on the surface than bell.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,bell,bell is less hard on the surface than persimmon.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,bottle_opener,bottle_opener is more hard on the surface than pita.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,bottle_opener,pita is more hard on the surface than bottle_opener.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,bottle_opener,pita is less hard on the surface than bottle_opener.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,bottle_opener,bottle_opener is less hard on the surface than pita.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,golf_club,golf_club is more hard on the surface than fruit.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,golf_club,fruit is more hard on the surface than golf_club.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,golf_club,fruit is less hard on the surface than golf_club.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,golf_club,golf_club is less hard on the surface than fruit.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,combination_lock,combination_lock is more hard on the surface than artwork.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,combination_lock,artwork is more hard on the surface than combination_lock.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,combination_lock,artwork is less hard on the surface than combination_lock.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,combination_lock,combination_lock is less hard on the surface than artwork.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,baseball_glove,baseball_glove is more hard on the surface than cherry.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,baseball_glove,cherry is more hard on the surface than baseball_glove.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,baseball_glove,cherry is less hard on the surface than baseball_glove.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,baseball_glove,baseball_glove is less hard on the surface than cherry.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,baseball_bat,baseball_bat is more hard on the surface than green_onion.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,baseball_bat,green_onion is more hard on the surface than baseball_bat.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,baseball_bat,green_onion is less hard on the surface than baseball_bat.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,baseball_bat,baseball_bat is less hard on the surface than green_onion.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,scraper,scraper is more hard on the surface than cigarette.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,scraper,cigarette is more hard on the surface than scraper.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,scraper,cigarette is less hard on the surface than scraper.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,scraper,scraper is less hard on the surface than cigarette.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,baseball_bat,baseball_bat is more hard on the surface than pizza.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,baseball_bat,pizza is more hard on the surface than baseball_bat.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,baseball_bat,pizza is less hard on the surface than baseball_bat.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,baseball_bat,baseball_bat is less hard on the surface than pizza.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,scissors,scissors is more hard on the surface than carnation.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,scissors,carnation is more hard on the surface than scissors.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,scissors,carnation is less hard on the surface than scissors.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,scissors,scissors is less hard on the surface than carnation.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,hinge,hinge is more hard on the surface than persimmon.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,hinge,persimmon is more hard on the surface than hinge.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,hinge,persimmon is less hard on the surface than hinge.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,hinge,hinge is less hard on the surface than persimmon.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,combination_lock,combination_lock is more hard on the surface than tortilla.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,combination_lock,tortilla is more hard on the surface than combination_lock.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,combination_lock,tortilla is less hard on the surface than combination_lock.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,combination_lock,combination_lock is less hard on the surface than tortilla.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,cowbell,cowbell is more hard on the surface than cupcake.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,cowbell,cupcake is more hard on the surface than cowbell.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,cowbell,cupcake is less hard on the surface than cowbell.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,cowbell,cowbell is less hard on the surface than cupcake.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,can,can is more hard on the surface than tomato.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,can,tomato is more hard on the surface than can.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,can,tomato is less hard on the surface than can.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,can,can is less hard on the surface than tomato.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,hand_towel,hand_towel is more hard on the surface than mushroom.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,hand_towel,mushroom is more hard on the surface than hand_towel.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,hand_towel,mushroom is less hard on the surface than hand_towel.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,hand_towel,hand_towel is less hard on the surface than mushroom.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,ax,ax is more hard on the surface than chocolate_cake.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,ax,chocolate_cake is more hard on the surface than ax.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,ax,chocolate_cake is less hard on the surface than ax.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,ax,ax is less hard on the surface than chocolate_cake.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,football_helmet,football_helmet is more hard on the surface than pizza.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,football_helmet,pizza is more hard on the surface than football_helmet.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,football_helmet,pizza is less hard on the surface than football_helmet.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,football_helmet,football_helmet is less hard on the surface than pizza.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,steak_knife,steak_knife is more hard on the surface than clementine.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,steak_knife,clementine is more hard on the surface than steak_knife.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,steak_knife,clementine is less hard on the surface than steak_knife.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,steak_knife,steak_knife is less hard on the surface than clementine.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,cooking_utensil,cooking_utensil is more hard on the surface than burrito.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,cooking_utensil,burrito is more hard on the surface than cooking_utensil.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,cooking_utensil,burrito is less hard on the surface than cooking_utensil.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,cooking_utensil,cooking_utensil is less hard on the surface than burrito.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,battery,battery is more hard on the surface than sushi.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,battery,sushi is more hard on the surface than battery.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,battery,sushi is less hard on the surface than battery.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,battery,battery is less hard on the surface than sushi.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,scraper,scraper is more hard on the surface than cake.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,scraper,cake is more hard on the surface than scraper.,pos,False,True,False,N/A,N/A
